,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
caravelas,br,2017-12-09,2017-12-09 14:47:49,88.0,97.0,-17.71,-39.25,79.58,21.63
vanimo,pg,2017-12-09,2017-12-09 14:47:49,68.0,100.0,-2.67,141.3,82.19,3.4
rivadavia,ar,2017-12-09,2017-12-09 14:00:00,0.0,29.0,-33.19,-68.46,77.0,11.41
estevan,ca,2017-12-09,2017-12-09 14:15:00,1.0,85.0,49.13,-102.98,15.8,12.75
manoharpur,in,2017-12-09,2017-12-09 14:00:00,0.0,45.0,27.3,75.95,68.0,0.94
flinders,au,2017-12-09,2017-12-09 14:00:00,90.0,93.0,-34.58,150.86,60.8,3.36
waipawa,nz,2017-12-09,2017-12-09 14:30:00,0.0,77.0,-41.41,175.52,68.0,13.87
aykhal,ru,2017-12-09,2017-12-09 14:47:52,32.0,37.0,66.0,111.5,-25.45,5.19
maykor,ru,2017-12-09,2017-12-09 14:47:52,88.0,83.0,59.01,55.88,16.0,13.13
dwarka,in,2017-12-09,2017-12-09 14:47:52,24.0,94.0,22.24,68.97,76.34,6.64
umm lajj,sa,2017-12-09,2017-12-09 14:47:53,0.0,73.0,25.02,37.27,74.18,4.74
huntington,us,2017-12-09,2017-12-09 14:15:00,1.0,79.0,38.42,-82.45,24.8,3.36
benjamin constant,br,2017-12-09,2017-12-09 14:00:00,40.0,74.0,-4.38,-70.03,84.2,8.05
tiznit,ma,2017-12-09,2017-12-09 14:47:53,0.0,24.0,29.58,-9.5,65.72,3.4
cam ranh,vn,2017-12-09,2017-12-09 14:47:54,68.0,93.0,11.92,109.16,73.46,14.58
barrow,us,2017-12-09,2017-12-09 13:53:00,1.0,84.0,71.29,-156.79,-0.41,13.87
natal,br,2017-12-09,2017-12-09 14:00:00,40.0,62.0,-5.79,-35.21,86.0,13.87
okhotsk,ru,2017-12-09,2017-12-09 14:44:09,0.0,100.0,59.38,143.3,-8.31,7.76
sivaki,ru,2017-12-09,2017-12-09 14:47:54,12.0,33.0,52.63,126.75,-22.66,4.74
twentynine palms,us,2017-12-09,2017-12-09 13:56:00,1.0,21.0,34.14,-116.05,60.8,6.93
lima,pe,2017-12-09,2017-12-09 14:43:06,12.0,62.0,-12.04,-77.03,69.41,2.28
karpathos,gr,2017-12-09,2017-12-09 14:20:00,20.0,55.0,35.51,27.21,64.4,12.75
dennery,lc,2017-12-09,2017-12-09 14:00:00,20.0,69.0,13.9,-60.89,82.4,12.75
chokurdakh,ru,2017-12-09,2017-12-09 14:47:55,68.0,71.0,70.63,147.92,-5.16,8.77
tuatapere,nz,2017-12-09,2017-12-09 14:47:56,56.0,97.0,-46.13,167.68,57.4,21.63
ardon,ru,2017-12-09,2017-12-09 14:00:00,12.0,75.0,43.17,44.29,41.0,2.24
sao jose da coroa grande,br,2017-12-09,2017-12-09 14:47:56,20.0,67.0,-8.9,-35.15,87.5,16.04
thompson,ca,2017-12-09,2017-12-09 14:30:00,90.0,84.0,55.74,-97.86,3.2,2.73
kutum,sd,2017-12-09,2017-12-09 14:47:57,24.0,31.0,14.2,24.67,77.78,5.53
hamilton,bm,2017-12-09,2017-12-09 13:55:00,75.0,83.0,32.29,-64.78,73.4,21.92
yar-sale,ru,2017-12-09,2017-12-09 14:47:57,88.0,91.0,66.83,70.83,17.12,6.98
labuhan,id,2017-12-09,2017-12-09 14:47:58,92.0,100.0,-6.88,112.21,78.5,4.29
tsagan aman,ru,2017-12-09,2017-12-09 14:47:58,0.0,83.0,47.56,46.72,21.89,6.76
sembakung,id,2017-12-09,2017-12-09 14:47:58,20.0,94.0,3.82,117.25,77.11,2.17
belfast,za,2017-12-09,2017-12-09 14:47:59,20.0,59.0,-25.69,30.04,69.28,6.76
provideniya,ru,2017-12-09,2017-12-09 14:47:59,0.0,100.0,64.38,-173.3,20.0,16.15
saint george,bm,2017-12-09,2017-12-09 13:55:00,75.0,83.0,32.38,-64.68,73.4,21.92
lensk,ru,2017-12-09,2017-12-09 14:48:00,48.0,29.0,60.73,114.93,-20.5,6.64
aquiraz,br,2017-12-09,2017-12-09 14:00:00,75.0,58.0,-3.9,-38.39,87.8,11.41
teahupoo,pf,2017-12-09,2017-12-09 14:30:00,68.0,74.0,-17.83,-149.27,78.8,5.82
margate,za,2017-12-09,2017-12-09 14:48:01,36.0,78.0,-30.86,30.37,74.81,28.12
byron bay,au,2017-12-09,2017-12-09 14:00:00,68.0,77.0,-28.65,153.62,69.8,13.87
mehamn,no,2017-12-09,2017-12-09 14:48:01,88.0,100.0,71.04,27.85,24.55,15.82
naze,jp,2017-12-09,2017-12-09 14:48:02,68.0,100.0,28.37,129.48,62.08,8.55
mwene-ditu,cd,2017-12-09,2017-12-09 14:48:02,64.0,89.0,-7.0,23.45,75.13,4.74
sibu,my,2017-12-09,2017-12-09 14:00:00,75.0,94.0,2.3,111.82,75.2,4.7
hovd,mn,2017-12-09,2017-12-09 14:48:03,20.0,62.0,48.01,91.64,-10.69,1.95
coahuayana,mx,2017-12-09,2017-12-09 13:46:00,75.0,45.0,18.73,-103.68,66.2,23.04
tuktoyaktuk,ca,2017-12-09,2017-12-09 14:00:00,90.0,84.0,69.45,-133.04,5.0,18.34
tasiilaq,gl,2017-12-09,2017-12-09 13:50:00,75.0,100.0,65.61,-37.64,32.0,26.4
eskisehir,tr,2017-12-09,2017-12-09 13:50:00,40.0,61.0,39.78,30.52,46.4,9.17
east london,za,2017-12-09,2017-12-09 14:00:00,40.0,73.0,-33.02,27.91,69.8,29.97
qasigiannguit,gl,2017-12-09,2017-12-09 13:50:00,75.0,47.0,68.82,-51.19,37.4,12.75
kavaratti,in,2017-12-09,2017-12-09 14:48:04,0.0,100.0,10.57,72.64,81.61,10.89
mount gambier,au,2017-12-09,2017-12-09 14:48:05,92.0,88.0,-37.83,140.77,57.53,2.73
ulaangom,mn,2017-12-09,2017-12-09 14:48:05,0.0,23.0,49.98,92.07,-19.96,1.95
tomatlan,mx,2017-12-09,2017-12-09 14:48:05,20.0,50.0,19.93,-105.25,68.96,3.74
sukhinichi,ru,2017-12-09,2017-12-09 14:48:05,68.0,92.0,54.1,35.34,28.78,8.99
oussouye,sn,2017-12-09,2017-12-09 14:48:06,64.0,71.0,12.48,-16.55,84.76,11.56
carutapera,br,2017-12-09,2017-12-09 14:48:06,68.0,66.0,-1.2,-46.02,86.69,10.78
alofi,nu,2017-12-09,2017-12-09 14:00:00,92.0,94.0,-19.06,-169.92,73.4,8.1
amga,ru,2017-12-09,2017-12-09 14:48:07,64.0,0.0,60.9,131.96,-33.28,4.18
sal rei,cv,2017-12-09,2017-12-09 14:00:00,20.0,51.0,16.18,-22.92,82.4,13.87
khatanga,ru,2017-12-09,2017-12-09 14:48:07,0.0,0.0,71.97,102.5,-29.1,5.75
kogon,uz,2017-12-09,2017-12-09 14:00:00,40.0,74.0,39.72,64.55,35.6,9.17
sinnamary,gf,2017-12-09,2017-12-09 14:48:08,88.0,97.0,5.38,-52.95,80.84,10.78
bambous virieux,mu,2017-12-09,2017-12-09 14:00:00,40.0,69.0,-20.34,57.76,80.6,11.41
whitehorse,ca,2017-12-09,2017-12-09 14:00:00,90.0,84.0,60.72,-135.05,37.4,10.29
geraldton,au,2017-12-09,2017-12-09 14:00:00,36.0,73.0,-28.77,114.6,73.4,23.04
katherine,au,2017-12-09,2017-12-09 14:00:00,36.0,51.0,-14.47,132.27,86.0,8.05
kurilsk,ru,2017-12-09,2017-12-09 14:48:09,80.0,100.0,45.23,147.88,29.45,23.87
kudahuvadhoo,mv,2017-12-09,2017-12-09 14:48:10,24.0,100.0,2.67,72.89,81.83,8.32
martapura,id,2017-12-09,2017-12-09 14:00:00,40.0,88.0,-3.42,114.85,80.6,4.7
cairo,eg,2017-12-09,2017-12-09 14:30:00,0.0,42.0,30.06,31.25,68.0,14.99
vredefort,za,2017-12-09,2017-12-09 14:48:11,32.0,33.0,-27.01,27.36,81.7,11.79
chambas,cu,2017-12-09,2017-12-09 13:51:00,75.0,78.0,22.19,-78.91,80.6,4.7
onokhoy,ru,2017-12-09,2017-12-09 14:00:00,20.0,55.0,51.93,108.07,6.8,2.24
ndele,cf,2017-12-09,2017-12-09 14:48:12,0.0,27.0,8.41,20.65,91.64,9.33
parnarama,br,2017-12-09,2017-12-09 14:48:12,0.0,55.0,-5.68,-43.09,89.8,3.85
vao,nc,2017-12-09,2017-12-09 14:48:12,80.0,99.0,-22.67,167.48,76.21,11.01
mutsu,jp,2017-12-09,2017-12-09 14:48:13,88.0,100.0,41.29,141.22,35.53,14.36
dandeli,in,2017-12-09,2017-12-09 14:48:13,0.0,68.0,15.27,74.62,76.34,1.28
